service_id,date,exception_type
1111110_TR2,20200530,2
1111110_TR2,20200706,2
1111110_TR2,20200928,2
0000001_TR3,20191225,1
0000001_TR3,20191226,1
0000001_TR3,20200101,1
0000001_TR3,20200411,1
0000001_TR3,20200413,1
0000001_TR3,20200502,1
0000001_TR3,20200509,1
0000001_TR3,20200531,2
0000001_TR3,20200706,1
0000001_TR3,20200928,1
1111111_TR10,20191225,2
1111111_TR10,20200101,2
1111111_TR10,20200530,2
1111111_TR10,20200531,2
0000001_TR4,20191226,1
0000001_TR4,20200101,1
0000001_TR4,20200412,2
0000001_TR4,20200413,1
0000001_TR4,20200705,2
0000001_TR4,20200706,1
0000001_TR4,20200927,2
0000001_TR4,20200928,1
0000001_TR4,20201028,1
0000001_TR4,20201117,1
0000010_TR3,20191224,1
0000010_TR3,20191231,1
0000010_TR3,20200410,1
0000010_TR3,20200411,2
0000010_TR3,20200501,1
0000010_TR3,20200502,2
0000010_TR3,20200508,1
0000010_TR3,20200509,2
0000010_TR3,20201028,1
0000010_TR3,20201117,1
0000110_TR1,20191223,1
0000110_TR1,20191225,1
0000110_TR1,20200409,1
0000110_TR1,20200412,1
0000110_TR1,20200430,1
0000110_TR1,20200507,1
0000110_TR1,20200705,1
0000110_TR1,20200927,1
0000110_TR1,20201027,1
0000110_TR1,20201116,1
1111001_TR2,20191223,2
1111001_TR2,20191224,2
1111001_TR2,20191225,2
1111001_TR2,20191231,2
1111001_TR2,20200409,2
1111001_TR2,20200412,2
1111001_TR2,20200430,2
1111001_TR2,20200507,2
1111001_TR2,20200705,2
1111001_TR2,20200927,2
1111001_TR2,20201027,2
1111001_TR2,20201116,2
0000001_TR5,20191226,1
0000001_TR5,20200411,1
0000001_TR5,20200413,1
0000001_TR5,20200502,1
0000001_TR5,20200509,1
0000001_TR5,20200706,1
0000001_TR5,20200928,1
1000000_TR1,20191227,1
1000000_TR1,20200102,1
1000000_TR1,20200413,2
1000000_TR1,20200414,1
1000000_TR1,20200706,2
1000000_TR1,20200707,1
1000000_TR1,20200928,2
1000000_TR1,20200929,1
1000000_TR1,20201029,1
1000000_TR1,20201118,1
